"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT07","WT08"
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-02","4.70",,"0.00","0.0","0.0",,"85","60","   30","   10","13.0","16.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-03","3.80",,"0.00","0.0","0.0",,"94","64","   90","  190","14.1","18.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-04","5.37",,"0.00","0.0","0.0",,"100","66","  250","  190","18.1","28.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-05","6.93",,"0.00","0.0","0.0",,"95","70","  260","  210","21.9","32.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-06","6.71",,"0.00","0.0","0.0",,"77","61","  260","  280","21.0","27.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-07","4.92",,"0.00","0.0","0.0",,"76","57","  270","  290","14.1","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-08","3.58",,"0.00","0.0","0.0",,"79","60","  250","  260","13.0","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-09","2.68",,"0.00","0.0","0.0",,"84","59","  260","  230","13.0","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-10","3.13",,"0.00","0.0","0.0",,"89","65","  200","  200","13.0","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-11","3.80",,"0.00","0.0","0.0",,"93","65","  270","  300","13.0","16.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-12","3.36",,"0.00","0.0","0.0",,"99","66","  180","  200","12.1","15.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-13","3.36",,"0.00","0.0","0.0",,"101","69","  250","  260","14.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-14","4.92",,"0.00","0.0","0.0",,"99","72","  260","  250","17.0","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-15","6.71",,"0.00","0.0","0.0",,"92","71","  240","  240","18.1","25.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-16","6.04",,"0.00","0.0","0.0",,"89","69","  220","  220","15.0","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-17","7.16",,"0.00","0.0","0.0",,"88","69","  310","  300","21.9","34.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-18","5.59",,"0.00","0.0","0.0",,"86","70","   50","   40","18.1","21.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-19","3.13",,"0.00","0.0","0.0",,"91","64","  160","  140","13.0","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-20","8.28",,"0.00","0.0","0.0",,"96","71","  250","  240","21.9","29.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-21","8.50",,"0.00","0.0","0.0",,"90","70","  240","  240","19.9","25.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-22","6.04",,"0.00","0.0","0.0",,"86","65","  260","  240","14.1","19.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-23","3.36",,"0.00","0.0","0.0",,"87","64","  190","  150","12.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-24","4.92",,"0.00","0.0","0.0",,"88","65","  240","  240","17.0","23.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-25","5.82",,"0.00","0.0","0.0",,"89","61","  230","  240","18.1","23.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-26","5.14",,"0.00","0.0","0.0",,"84","63","  240","  270","15.0","21.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-27","3.80",,"0.00","0.0","0.0",,"91","65","  270","  250","14.1","17.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-28","4.03",,"0.00","0.0","0.0",,"95","67","  240","  250","19.9","29.1",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-29","5.82",,"0.00","0.0","0.0",,"96","67","  160","  150","14.1","19.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-30","3.58",,"0.00","0.0","0.0",,"92","66","  220","  200","14.1","19.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-05-31","3.58",,"0.00","0.0","0.0",,"97","65","  250","  220","16.1","23.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-06-01","5.14",,"0.00","0.0","0.0",,"100","73","  230","  230","14.1","19.9",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-06-02","4.03",,"0.00","0.0","0.0",,"106","76","  230","  250","15.0","21.0",,,,,
"USW00003192","SCOTTSDALE MUNICIPAL AIRPORT, AZ US","2016-06-03","4.70",,"0.00","0.0","0.0",,"111","74","  260","  230","16.1","21.0",,,,,"    1"
